ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Your name,What is the date and time of collection?,Where are you recording the point?,"Are there no crops (fallow or pasture), one crop, or multiple crops growing in the field?",Which crop(s) are present in the field?,Other - Which crop(s) are present in the field?,"[OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?","Other - [OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?",[OPTIONAL] Additional notes,x,y
207,ef8aa630-a4f1-4cf5-a4bf-2134f79d6ba0,2/22/2023 8:28:28 PM,,2/22/2023 8:28:28 PM,,Jeffrey wayer,,Inside the field,One crop,other,Pumpkin ,other,Pumpkin ,,-156.498047167613,20.8318658905381
208,938206a2-bd71-4ccf-ac9f-d914199de39e,2/22/2023 8:40:34 PM,,2/22/2023 8:40:34 PM,,Jeffrey wayer ,,Inside the field,One crop,`ulu_(breadfruit),,,,,-156.49768617429,20.8316392063822
209,7889d952-ed82-48e9-9705-6e4aa389f556,2/22/2023 8:42:29 PM,,2/22/2023 8:42:29 PM,,Jeffrey wayer,,Inside the field,One crop,`ulu_(breadfruit),,,,,-156.497406369299,20.8322015523356
210,6424b08c-1191-4146-839d-b5c40ca1c5fb,2/22/2023 8:44:43 PM,,2/22/2023 8:44:43 PM,,Jeffrey wayet,,Inside the field,Multiple crops,"`ulu_(breadfruit),other",,`ulu (breadfruit),,Ulu and kukui tree,-156.497156629182,20.832639125808
211,c5f0f6bb-5eac-4341-97e9-a3a5e207ceb9,2/22/2023 8:44:44 PM,,2/22/2023 8:44:44 PM,,Brigette Tomas,,Inside the field,Multiple crops,"`ulu_(breadfruit),other",Kukui tree,`ulu (breadfruit),,,-156.49709758,20.83257715
212,112974a8-944c-489b-999d-df09792941fb,2/22/2023 8:47:26 PM,,2/22/2023 8:47:26 PM,,Jeffrey wayer ,,Inside the field,Multiple crops,other,Bitter melon ,other,Bitter melon,Bitter melon and okra ,-156.497489211891,20.8330358472477
213,f2d77a40-6c48-4b47-9b77-3276711b9450,2/22/2023 8:50:30 PM,,2/22/2023 8:50:30 PM,,Brigette Tomas,,Inside the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,"Chinese okra
Bittermelon
long green beans ",-156.49736818,20.83312268
214,f8b8b0cf-87d0-4bea-b39f-1e678ab24cb5,2/22/2023 8:54:58 PM,,2/22/2023 8:54:58 PM,,Jeffrey wayer,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),vegetables_(e.g._leafy_greens_c",,,,Many different leafy greens ,-156.495507531693,20.8321891120245
215,9681a6a9-0448-434f-bde8-92bf0a0d5e5d,2/22/2023 8:58:23 PM,,2/22/2023 8:58:23 PM,,Brigette Tomas,,On the edge of the field,One crop,other,,,,Morniga trees,-156.49631706,20.83215503
216,c4de7d5e-a5b1-46da-939c-b75833b175ad,2/22/2023 9:09:58 PM,,2/22/2023 9:09:58 PM,,Jeffrey Wayet,,Inside the field,Fallow,,,,,,-156.504161215268,20.8330178186466
217,91a1ce23-7293-406a-995f-086898dd2a1a,2/25/2023 8:11:17 PM,,2/25/2023 8:11:17 PM,,Dylan Bowen ,,On the edge of the field,One crop,niu_(coconut),,,,3 trees,-156.301987350567,20.9123730896888
218,7842feb0-4b57-4eb2-b88a-f0bb61b4fb26,2/25/2023 8:33:35 PM,,2/25/2023 8:33:35 PM,,jerry isdale,,Inside the field,Multiple crops,"niu_(coconut),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other,tropical_fruits","
peach palm 
morganstein
mangostein
jack friut
durian
star apple
dragon fruit
pumpkin
longum
lemon drop mangostein
mountain apple 
jabotacaba 
star fruit
 icecream bean",,,lots of variation in trees; pasture area w chickens; big problem w pigs,-156.3022162,20.91271173
219,9b070533-330c-463a-a476-3ef7b133e40a,2/25/2023 8:34:49 PM,,2/25/2023 8:34:49 PM,,Brigette Tomas,,Inside the field,Multiple crops,"tropical_fruits,kalo_(taro)_-_mala_(dryland)",,,,"Dwarf coconut,lychee,papaya,pumpkins
diversified tropical farm",-156.3019318,20.91240693
220,1407319c-a9c1-4320-aa4b-02ddac319cbf,2/25/2023 8:35:09 PM,,2/25/2023 8:35:09 PM,,Brigette Tomas,,Inside the field,Multiple crops,"avocado,tropical_fruits",,,,"Finger limes,chocolate sapote llyod, green gold avocado, malama avacado,fig mina tree",-156.30227894,20.91286577
221,ae8d174f-4afe-4534-beba-e20807d222f9,2/25/2023 8:35:30 PM,,2/25/2023 8:35:30 PM,,Brigette Tomas,,Inside the field,Multiple crops,tropical_fruits,,,,"Gliricidia
heart of palm 
Mangosteen",-156.30289793,20.91324253
222,6615dba0-399f-419d-ac0f-3c07446a8372,2/25/2023 8:35:58 PM,,2/25/2023 8:35:58 PM,,Sean,,On the edge of the field,Windbreak,,,,,Vetiver,-156.302367249574,20.9120662969811
223,c6f7e82a-90bd-4a1f-8b24-434d51d7fc07,2/25/2023 8:36:09 PM,,2/25/2023 8:36:09 PM,,Sean,,Inside the field,One crop,tropical_fruits,,,,Lychee,-156.301851596926,20.9124185787774
224,830fb323-c979-4022-9ac9-750b87f6da6a,2/25/2023 8:36:09 PM,,2/25/2023 8:36:09 PM,,Brigette Tomas,,Inside the field,One crop,tropical_fruits,,,,Jackfruit,-156.30260529,20.91353937
225,a4079fbb-5d77-4237-a924-6ebd2280b9a1,2/25/2023 8:36:22 PM,,2/25/2023 8:36:22 PM,,Sean,,Inside the field,Multiple crops,"vegetables_(e.g._leafy_greens_c,tropical_fruits",,,,,-156.301929703961,20.9124617632007
226,db0b7fa0-d5a5-454c-805c-2681249e70d3,2/25/2023 8:36:34 PM,,2/25/2023 8:36:34 PM,,Sean,,On the edge of the field,One crop,mai`a_(banana),,,,,-156.302177903842,20.9126001163014
227,2b1fdaa7-661d-483e-a77c-d82b277bf584,2/25/2023 8:36:44 PM,,2/25/2023 8:36:44 PM,,Sean,,Inside the field,Multiple crops,tropical_fruits,,,,,-156.302308586636,20.9128790080905
228,2525d761-e5c5-4138-8d01-458dfe23ccf9,2/25/2023 8:36:54 PM,,2/25/2023 8:36:54 PM,,Sean,,Inside the field,Multiple crops,,,,,,-156.302325096632,20.9130762340123
229,c3951e6b-a0a0-42d8-9a6a-cc41a1edc51e,2/25/2023 8:36:59 PM,,2/25/2023 8:36:59 PM,,Sean,,Inside the field,Multiple crops,tropical_fruits,,,,,-156.302681773275,20.912716945178
230,8eaf1705-ba6f-4b10-bc91-5df79096e0db,2/25/2023 8:37:10 PM,,2/25/2023 8:37:10 PM,,Sean,,Inside the field,Pasture,,,,,,-156.302530310997,20.912988902566
231,eb0e1536-bf14-4bce-8683-76d0a22c0c0e,2/25/2023 8:37:14 PM,,2/25/2023 8:37:14 PM,,Brigette Tomas,,Inside the field,Multiple crops,tropical_fruits,,,,"Mango
mangosteen
mabalo
heart of palm",-156.30357653,20.91378601
232,492c4333-974f-47b5-a85c-73879148e87b,2/25/2023 8:37:17 PM,,2/25/2023 8:37:17 PM,,Sean,,On the edge of the field,Fallow,,,,,,-156.302506289664,20.9132810223285
233,caa79cbf-ce96-42b2-b181-7ca1d446e37d,2/25/2023 8:37:27 PM,,2/25/2023 8:37:27 PM,,Sean,,Inside the field,One crop,tropical_fruits,,,,,-156.302654266371,20.9135128732635
234,486322d0-976c-4d6b-8b3b-21395cede3ea,2/25/2023 8:37:36 PM,,2/25/2023 8:37:36 PM,,Sean,,Inside the field,One crop,tropical_fruits,,,,,-156.302730659175,20.9139409720412
235,6fd52f8f-2fbc-4aab-b2b1-37b7f850960b,2/25/2023 8:37:45 PM,,2/25/2023 8:37:45 PM,,Sean,,Inside the field,One crop,tropical_fruits,,,,Mango,-156.303657929599,20.9137344811317
236,b9e866e0-a777-4e5a-aa2c-af20396a67cc,2/25/2023 8:37:55 PM,,2/25/2023 8:37:55 PM,,Sean,,Inside the field,One crop,tropical_fruits,,,,Star apple,-156.303520271241,20.9140616745195
237,991dadcf-9dd8-4e9a-96cc-b89eccd382b3,2/25/2023 8:37:56 PM,,2/25/2023 8:37:56 PM,,Brigette Tomas,,Inside the field,Multiple crops,tropical_fruits,,,,"Lemon drop mangosteen
fallow",-156.30374712,20.91465598
238,0ff94668-4b64-4e84-bb93-0ce46ff5a730,2/25/2023 8:38:05 PM,,2/25/2023 8:38:05 PM,,Sean,,On the edge of the field,One crop,tropical_fruits,,,,,-156.303745838422,20.9146485474695
239,3ad0e2b5-fc97-47a9-bc92-3fac559e50ba,2/25/2023 8:38:12 PM,,2/25/2023 8:38:12 PM,,Sean,,Inside the field,Multiple crops,tropical_fruits,,,,,-156.30288816507,20.9144340250876
240,82859098-9547-4255-bd77-a48babaabfbd,2/25/2023 8:38:19 PM,,2/25/2023 8:38:19 PM,,Sean,,Inside the field,One crop,tropical_fruits,,,,Durian,-156.302430666105,20.9143209350893
241,f1956ec5-0588-4709-9097-4ffde4bae9c3,2/25/2023 8:38:26 PM,,2/25/2023 8:38:26 PM,,Sean,,Inside the field,Multiple crops,"coffee,tropical_fruits",,,,,-156.302710061767,20.9141837461982
242,60536bdf-92ba-4ce3-9a63-944abc44c5cc,2/25/2023 8:38:34 PM,,2/25/2023 8:38:34 PM,,Sean,,On the edge of the field,Multiple crops,"avocado,tropical_fruits",,,,,-156.302202924709,20.9134962984578
243,6fa2d14c-3a7b-4a26-96c0-7263b12a3c53,2/25/2023 8:38:54 PM,,2/25/2023 8:38:54 PM,,Brigette Tomas,,Inside the field,Multiple crops,tropical_fruits,,,,"Lychee
citrus",-156.30289866,20.9144746
244,dc0e20a4-f6ab-4fd2-b947-04795c37afed,2/25/2023 8:39:14 PM,,2/25/2023 8:39:14 PM,,Brigette Tomas,,Inside the field,Multiple crops,tropical_fruits,,,,"Mountian apple
Abeyu tree
Mangosteen",-156.3024875,20.9142762
245,b1903157-fc67-4f48-9b78-11724ee8d8d3,2/25/2023 8:43:22 PM,,2/25/2023 8:43:22 PM,,Paige Moffitt,,On the edge of the field,One crop,other,perrinneal peanut ,,,,-156.302356911764,20.9120992433794
246,63ad8caf-ed17-47fe-9daf-d8cf4e87bb94,2/25/2023 8:59:20 PM,,2/25/2023 8:59:20 PM,,Rohan Fahland,,On the edge of the field,Fallow,,,,,Edge covered by trees,-156.302620639261,20.9139724842311
247,853eda44-fc49-47cc-a76b-e2598658a35c,2/25/2023 8:59:27 PM,,2/25/2023 8:59:27 PM,,Rohan Fahland ,,On the edge of the field,Fallow,,,,,,-156.302208028014,20.9134457395371
248,66ba6f03-d9fb-4c07-8bae-134dd7f8fce8,2/26/2023 12:55:13 AM,,2/26/2023 12:55:13 AM,,jerry isdale,,Inside the field,Multiple crops,"coffee,other,avocado","flowers - haliconia, kukui",coffee,,"maliko gulch: archeological site w petroglyphs, ruins etc",-156.31729153,20.87268962
249,5db958ca-70e0-4e66-8c07-436e03104b5d,2/26/2023 12:56:48 AM,,2/26/2023 12:56:48 AM,,Anna G.,,Inside the field,One crop,coffee,,,,"Rather than using the land solely to grow coffee, they use the entire environment and grow the coffee to coexist with other plants.",-156.317234792546,20.8726524830813
250,eb64ab3c-01e9-4101-87aa-35acb94b759c,2/26/2023 12:57:56 AM,,2/26/2023 12:57:56 AM,,Brigette Tomas,,On the edge of the field,One crop,"coffee,other",,,,"Coffee grown on the cliff
Farm has coffee rust",-156.3172124,20.87266372
251,da8bbdb9-4db6-4e1d-baf0-4349d3395b7d,2/26/2023 1:54:07 AM,,2/26/2023 1:54:07 AM,,Mary Alleca,,Inside the field,One crop,other,Green sapote,,,,-156.30260625,20.91395537
252,04a35fc5-46b1-4481-ba58-954f770afd51,2/26/2023 1:54:10 AM,,2/26/2023 1:54:10 AM,,Mary Alleca,,Inside the field,Pasture,tropical_fruits,,,,Mango,-156.30357225,20.91377043
253,eb4ab638-535a-4448-bb62-251f5ffdba8e,2/26/2023 1:54:13 AM,,2/26/2023 1:54:13 AM,,Mary Alleca,,Inside the field,Multiple crops,tropical_fruits,,,,"Mangosteen, heart of palms",-156.30359536,20.91409137
254,1111ab64-a44e-4e4e-a2c2-b31d9c0b0561,2/26/2023 1:54:15 AM,,2/26/2023 1:54:15 AM,,Mary Alleca,,Inside the field,One crop,tropical_fruits,,,,Longan,-156.30352148,20.91477001
255,e2ddd487-7690-4900-a4b9-8286dd6c411a,2/26/2023 1:54:18 AM,,2/26/2023 1:54:18 AM,,Mary Alleca,,Inside the field,One crop,tropical_fruits,,,,Lemon drop manhosteen,-156.30380147154,20.9146624797739
256,111e87bc-d71e-422c-923f-2557f40d503e,2/26/2023 1:54:21 AM,,2/26/2023 1:54:21 AM,,Mary Alleca,,Inside the field,One crop,tropical_fruits,,,,Lychee,-156.30292817,20.91445096
257,4700e887-523e-4418-b13b-4e9a133de16b,2/26/2023 1:54:24 AM,,2/26/2023 1:54:24 AM,,Mary Alleca,,Inside the field,Multiple crops,coffee,,,,,-156.30253046,20.91420505
258,53487180-37b9-43cf-94cf-0ba66738c791,2/26/2023 1:54:27 AM,,2/26/2023 1:54:27 AM,,Mary Alleca,,Inside the field,Multiple crops,"avocado,tropical_fruits",,,,,-156.3021869,20.91350428
259,f1eff534-5cb2-4f27-9c75-4273c8b65a9f,2/26/2023 1:54:30 AM,,2/26/2023 1:54:30 AM,,Mary Alleca,,On the edge of the field,One crop,tropical_fruits,,,,Dragon fruit,-156.30247177,20.9129107
260,90a086bb-e288-4538-ae98-9b7d5e6e9aa4,2/26/2023 1:54:32 AM,,2/26/2023 1:54:32 AM,,Mary Alleca,,On the edge of the field,Multiple crops,tropical_fruits,,,,,-156.3022561,20.9127939
261,f3f62cc8-bb3b-4224-99ef-92c71bf051c3,2/26/2023 1:54:36 AM,,2/26/2023 1:54:36 AM,,Mary Alleca,,On the edge of the field,One crop,coffee,,,,,-156.31737034,20.87278838
262,06ad399a-f6a7-4795-8179-c367acbfeef1,2/26/2023 1:54:39 AM,,2/26/2023 1:54:39 AM,,Mary Alleca,,Inside the field,One crop,coffee,,,,,-156.31724577,20.87261876
263,5f7c0016-536f-42c6-9400-3dd0ff5b3e3c,2/26/2023 1:54:42 AM,,2/26/2023 1:54:42 AM,,Mary Alleca,,On the edge of the field,One crop,kalo_(taro)_-_mala_(dryland),,,,,-156.31686099,20.87209175
264,96a513b0-24a3-4fa8-9211-995730873f6d,2/27/2023 7:38:20 AM,,2/27/2023 7:38:20 AM,,Carter Rosenthal,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),other,tropical_fruits",Pumpkin,,,"Lychee, pumpkin, mango, Kali are grown in this field. Parennial peanut is used for Nitrogen Fixing.",-156.301956056399,20.9123904405225
265,9b172374-2977-4bf6-ad6a-de197c969dd5,2/27/2023 7:38:29 AM,,2/27/2023 7:38:29 AM,,Carter Rosenthal,,On the edge of the field,Multiple crops,"avocado,tropical_fruits",,avocado,,"Younger trees, majority of smaller trees planted around April 2022",-156.302244030742,20.9127748736184
266,41025970-cd24-4fb6-af68-e8e9ba0826b2,2/27/2023 7:38:36 AM,,2/27/2023 7:38:36 AM,,Carter Rosenthal,,On the edge of the field,One crop,other,Dragon Fruit,,,10 varieties of Dragon Fruit. They are cross pollinated and self-pollinated by the farmer.,-156.302466105192,20.9128548009618
267,08b990da-b01c-4fc2-8b26-28537a6d68ea,2/27/2023 7:38:45 AM,,2/27/2023 7:38:45 AM,,Carter Rosenthal,,On the edge of the field,One crop,other,Heart of Palm,,,"Glaracidia is used as a Nitrogen Fixing plant here. These trees are roughly 5-8 years old. They do not cut them down until after the tree reproduces; however, pigs in the area eat the young trees before they can grow, so these ones have not been cut down yet. Pigs are a problem here preventing sustainable reproduction",-156.302563663383,20.9132470734482
268,f0aaf03d-6bca-4de2-85a6-9f8483f745bb,2/27/2023 7:41:51 AM,,2/27/2023 7:41:51 AM,,Carter Rosenthal,,Inside the field,One crop,other,Sapote,,,,-156.302686371364,20.9139334476927
269,a5e237f2-dac8-4e41-8e7b-1ab94dc0dbbe,2/27/2023 7:41:58 AM,,2/27/2023 7:41:58 AM,,Carter Rosenthal,,On the edge of the field,One crop,other,Mabolo,,,,-156.303491640388,20.9138481105093
270,df9655b4-b4c8-443e-9f21-c1965f4a5ca3,2/27/2023 7:42:07 AM,,2/27/2023 7:42:07 AM,,Carter Rosenthal,,Inside the field,One crop,other,Longan,,,,-156.30358917176,20.9148083956575
271,a50b9b09-487b-41b3-8748-8666ac28154f,2/27/2023 7:42:13 AM,,2/27/2023 7:42:13 AM,,Carter Rosenthal,,On the edge of the field,One crop,tropical_fruits,,,,Imperial and Kaimana Lychee,-156.302935073947,20.9145094922441
272,da5b8aaf-5104-48f1-a7b5-6be6a2182d1f,2/27/2023 7:42:20 AM,,2/27/2023 7:42:20 AM,,Carter Rosenthal,,On the edge of the field,One crop,other,Bees/beehive,,,,-156.302062690897,20.9135752295481
273,db9f3b5d-8be9-4cdc-8a76-e9fe51845493,2/27/2023 7:42:38 AM,,2/27/2023 7:42:38 AM,,Carter Rosenthal,,Inside the field,One crop,other,Star Apple,,,,-156.303564212352,20.9140464429128
274,f58f2ee7-83c7-43f4-b0fc-be05892148dd,2/27/2023 6:59:52 PM,,2/27/2023 6:59:52 PM,,Ivan Zvonkov,,On the edge of the field,One crop,kalo_(taro),,,,,-156.137024415395,20.8412227356589
275,0dbb05f0-26a4-4bab-a922-fe9132bf3687,2/27/2023 7:00:02 PM,,2/27/2023 7:00:02 PM,,Ivan Zvonkov,,Inside the field,One crop,macadamia_nut,,,,,-157.048777107495,21.1662353358739
276,b9d08727-194a-439c-a817-391563fbff33,2/27/2023 7:00:05 PM,,2/27/2023 7:00:05 PM,,Ivan Zvonkov,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,"Mango trees, black plastic in soil",-157.047622121884,21.1664726715244
277,4f5a0312-1da3-4807-b3e7-67387f4b5e6e,3/7/2023 1:36:53 AM,,3/7/2023 1:36:53 AM,,Hershey,,On the edge of the field,Multiple crops,"vegetables_(e.g._leafy_greens_c,kalo_(taro)_-_mala_(dryland)",,other,Eggplant,"— ALL Natural and organic
— CULTIVATED LAND
— No usage of fertilizers and pesticides 
— Deer fence 
— Poultry: Chickens
— Clippings on plants
— Vegetables like chili, bitter melon, tomatoes lime, lemon, etc.",-156.925132637207,20.8274122389481
278,d47cf5f8-5bad-43c0-b427-1967688ff113,3/8/2023 10:30:49 PM,,3/8/2023 10:30:49 PM,,paige moffitt ,,Inside the field,Multiple crops,"`ulu_(breadfruit),avocado",,,,"citrus 
new baby trees",-156.302382555907,20.9128557522101
279,f5f03a56-8b82-4a3d-8e09-4bbf256307a4,3/8/2023 10:31:12 PM,,3/8/2023 10:31:12 PM,,paige moffitt ,,Inside the field,One crop,other,dragonfruit ,,,,-156.30247866519,20.9128238693014
280,13b52aaf-1d6e-4e76-bf82-a0f68303db1a,3/8/2023 10:31:36 PM,,3/8/2023 10:31:36 PM,,paige moffitt ,,Inside the field,Multiple crops,other,heart of palm,,,alternating peach palm mangosteen,-156.302565904064,20.9132720684553
281,267d4e45-8007-4b5e-83f1-050d870f712d,3/8/2023 10:31:41 PM,,3/8/2023 10:31:41 PM,,paige moffitt,,Inside the field,One crop,other,jackfruit,,,,-156.302671280931,20.9135755563022
282,2fb624ff-140d-4d43-aaf0-627f27fddb1e,3/8/2023 10:31:46 PM,,3/8/2023 10:31:46 PM,,paige moffitt,,Inside the field,One crop,other,green sapote,,,,-156.302656729706,20.9139693258278
283,dca5344a-c8c5-4293-b6d5-734aa993757c,3/8/2023 10:31:52 PM,,3/8/2023 10:31:52 PM,,paige moffitt,,Inside the field,One crop,other,longon,,,,-156.303633497735,20.9147929115833
284,11b8f9a0-419b-4ffa-8607-1c77c9e6a71c,3/8/2023 10:31:58 PM,,3/8/2023 10:31:58 PM,,paige moffitt,,On the edge of the field,Home garden or irregular,other,bees,,,,-156.302042166366,20.9136280635281
285,a60410a5-94dd-4a85-90bb-b052cc3afd39,3/8/2023 10:32:03 PM,,3/8/2023 10:32:03 PM,,paige moffitt,,Inside the field,One crop,coffee,,,,,-156.317390030286,20.8727514725797
286,1f036baf-0c59-43b7-9cea-37f75752f27e,3/8/2023 10:32:09 PM,,3/8/2023 10:32:09 PM,,paige moffitt ,,Inside the field,Multiple crops,"pineapple,coffee",,,,,-156.317214323959,20.872609037422
287,74582a9a-7b19-400e-b38b-6f13ef504ab2,3/8/2023 10:32:14 PM,,3/8/2023 10:32:14 PM,,paige moffitt,,Inside the field,One crop,coffee,,,,,-156.316804947675,20.8719959785493
288,7c9c4158-14b3-42da-b339-d1d481ed4bf1,3/8/2023 10:32:20 PM,,3/8/2023 10:32:20 PM,,paige moffitt ,,On the edge of the field,One crop,coffee,,,,,-156.316467334415,20.8716100568631
289,93ec69af-2b7c-4da4-a036-bfdee6b9c64c,3/11/2023 10:06:57 PM,,3/11/2023 10:06:57 PM,,jerry isdals,,Inside the field,Multiple crops,"kalo_(taro)_-_loʻi_(wetland),`ulu_(breadfruit),coffee,tropical_fruits,sugarcane,vegetables_(e.g._leafy_greens_c,other",,,,,-156.24103535,20.91421558
290,c6a87c10-ff16-416c-b217-a8010f7ddf39,3/11/2023 10:06:59 PM,,3/11/2023 10:06:59 PM,,jerry,,Inside the field,Multiple crops,"kalo_(taro)_-_loʻi_(wetland),`ulu_(breadfruit),niu_(coconut),other",cashew,,,,-156.241285,20.91427629
291,936620bd-97ea-4636-9668-eafea409c477,3/11/2023 10:07:02 PM,,3/11/2023 10:07:02 PM,,jerty,,Inside the field,Multiple crops,"`ulu_(breadfruit),avocado,other,tropical_fruits,niu_(coconut),mai`a_(banana),kalo_(taro)_-_loʻi_(wetland)",pomeegranate cashew etc,,,"pomegranate
",-156.24037042,20.91480184
292,609185de-45c6-4d49-9094-d5d42164a4ba,3/11/2023 10:44:47 PM,,3/11/2023 10:44:47 PM,,Jeffrey ,,Inside the field,One crop,other,Blood orange ,,,Single plant ,-156.241030285924,20.9142974900773
293,e7980b66-e885-4b80-bddb-a5f50e4b2f41,3/11/2023 10:45:17 PM,,3/11/2023 10:45:17 PM,,Jeffrey,,Inside the field,Multiple crops,other,Cashew ,other,Papaya tree,Mixed crops,-156.24120735187,20.9143529053072
294,89eea58f-156e-4410-a6f6-3f0f689418d6,3/11/2023 10:45:59 PM,,3/11/2023 10:45:59 PM,,Jeffrey,,Inside the field,One crop,`ulu_(breadfruit),,,,Few trees ,-156.241356962701,20.9144254926071
295,c2570682-33f6-4a95-9e61-6f58027ce80b,3/11/2023 10:46:05 PM,,3/11/2023 10:46:05 PM,,Jeffrey,,Inside the field,One crop,other,Caco tree,,,6 Caco trees in a row,-156.24105723424,20.9146721593167
296,15d7e97a-20e9-40cb-a976-971a3a490f52,3/11/2023 10:46:26 PM,,3/11/2023 10:46:26 PM,,Jeffrey,,Inside the field,One crop,avocado,,,,,-156.240383623255,20.9149966584155
297,2f342a32-bd82-4cbb-bcbd-fa11d96ce31c,3/11/2023 10:46:34 PM,,3/11/2023 10:46:34 PM,,Jeffrey ,,Inside the field,One crop,vegetables_(e.g._leafy_greens_c,,,,False Ava ,-156.240730173033,20.9143371946812
298,384e7b96-9500-491d-953d-1b636cf81548,3/11/2023 10:48:08 PM,,3/11/2023 10:48:08 PM,,Jeffrey,,Inside the field,One crop,other,Coffee tree,,,Row of 5,-156.240741602136,20.9138962042339
299,d9464d97-d051-4a0d-b18d-e1c5028f7f9e,3/11/2023 10:48:32 PM,,3/11/2023 10:48:32 PM,,Jeffrey,,Inside the field,One crop,other,Caco tree,,,,-156.240529440042,20.9137355879487
300,90abae3c-9021-4f51-9858-b18d0204948d,3/11/2023 10:48:40 PM,,3/11/2023 10:48:40 PM,,Jeffrwy,,Inside the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana)",,,,,-156.240444204032,20.9135569655524
301,bf9bc8b2-95bf-4b94-adb0-c6d979eed8ce,3/11/2023 10:48:54 PM,,3/11/2023 10:48:54 PM,,Jeffrey,,Inside the field,One crop,other,Elder flower ,,,,-156.240719228448,20.9135988443745
302,8c86de2a-4d3b-48c1-93e8-fb05090283e7,3/11/2023 10:49:14 PM,,3/11/2023 10:49:14 PM,,Jeffrey ,,Inside the field,Pasture,,,,,Chicken pasture ,-156.24068374253,20.913713902008
303,d790cfb8-47a6-4dae-94cb-ee2ff1403e14,3/12/2023 12:47:55 AM,,3/12/2023 12:47:55 AM,,Brigette Tomas,,On the edge of the field,Home garden or irregular,coffee,,,,,-156.24119046,20.9145194
304,17dcab8d-e939-4d24-bcf1-fae826fa57ff,3/12/2023 12:48:48 AM,,3/12/2023 12:48:48 AM,,Brigette Tomas,,Inside the field,One crop,other,Cocoa Tree,,,,-156.24106868,20.9146661
305,97059e77-f0e8-4cd2-8cfb-5ca544a9ea42,3/12/2023 12:49:40 AM,,3/12/2023 12:49:40 AM,,Brigette Tomas,,Inside the field,One crop,other,Pohole,,,,-156.24070155,20.91485841
306,c6e295e5-7c14-43b3-9b37-fc8a0767838b,3/12/2023 12:51:38 AM,,3/12/2023 12:51:38 AM,,Brigette Tomas,,On the edge of the field,Multiple crops,other,Pomegranate and Avocado,,,,-156.24035067,20.91488715
307,a3277f40-d523-4f8b-a926-bba82628a514,3/12/2023 12:52:58 AM,,3/12/2023 12:52:58 AM,,Brigette Tomas,,Inside the field,One crop,other,False Ava ,,,,-156.24069717,20.91432025
308,57ff1b7d-9648-41f1-9e1b-521266b033b2,3/12/2023 12:53:04 AM,,3/12/2023 12:53:04 AM,,Brigette Tomas,,Inside the field,Multiple crops,other,"Abiyu, Jackfruit, Coffee",,,Coffee Rust on some ,-156.24072076,20.9138499
309,6768495d-9aec-4c08-9e92-bae1509583d1,3/12/2023 12:53:08 AM,,3/12/2023 12:53:08 AM,,Brigette Tomas,,Inside the field,One crop,coffee,,,,,-156.24050042,20.9136801
310,45bbbe7c-5239-40e2-ae2b-99a1c7212d09,3/16/2023 1:06:29 AM,,3/16/2023 1:06:29 AM,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,"other,vegetables_(e.g._leafy_greens_c","Fennel, Lettuces, cilantro, leak, ",,,,-156.286530318879,20.8153560404781
311,21fea180-27dd-4ed5-8503-e5e4cec1c7ca,3/16/2023 1:07:14 AM,,3/16/2023 1:07:14 AM,,Carter Rosenthal,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,,-156.286623221759,20.8153284418321
312,6aa00e49-d529-4e4e-bcd3-f86140773114,3/16/2023 1:08:55 AM,,3/16/2023 1:08:55 AM,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,,-156.286287687708,20.8152601341962
313,e20230e8-22d9-4a69-8170-faa5fa1a02af,3/16/2023 1:12:14 AM,,3/16/2023 1:12:14 AM,,jerry,,On the edge of the field,Multiple crops,"other,kalo_(taro)_-_mala_(dryland)","pasture, roses, cilantro,lettuce, fennelgrass",,,"22+ acres, only 1.5 as row crop- greenhouses. rest is pasture; roughly 28 day rotation of salad mix",-156.2866557,20.81519423
314,7f9987da-b31a-4701-8843-9b60f7d0731d,3/16/2023 1:13:30 AM,,3/16/2023 1:13:30 AM,,jerry,,On the edge of the field,Multiple crops,other,leek carrot,,,,-156.28605512,20.8155227
315,35bc2672-3cb6-4d12-aeeb-2be66e915aa6,3/16/2023 1:20:05 AM,,3/16/2023 1:20:05 AM,,Charlotte Cabaccang ,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,"Uses used straws (from mushroom farm) for additional mulch. Grows parsnips, lettuce, celery, and other leafy greens on these patches.",-156.286134816997,20.8156972660784
